"Data","NomeMunicipio","CodigoMunicipio","Casos_Circ","Casos_Resp","Obitos_Circ","Obitos_Resp","Ano","CO","PM2p5","Temperatura","UmidRel"
2022-10-04,"Rio de Janeiro",330455,76,43,10,10,2022,159.828971391107,21.0048431981136,20.81533203125,83.7045631197562
2022-10-05,"Rio de Janeiro",330455,60,42,12,8,2022,166.336647566823,28.3674825851676,21.3980041503906,83.9323228912179
2022-10-06,"Rio de Janeiro",330455,68,39,15,7,2022,144.956175063271,6.99424052008624,23.1906066894531,79.4977011213837
2022-10-07,"Rio de Janeiro",330455,50,29,6,5,2022,257.244792578604,39.8125479250666,24.3524108886719,79.1116472851376
2022-10-08,"Rio de Janeiro",330455,55,25,8,2,2022,230.388309319096,18.9019502272458,22.3498779296875,81.0841387497825
2022-10-09,"Rio de Janeiro",330455,35,24,9,7,2022,250.472425022963,32.3124353940329,23.0412536621094,83.3607037940564
2022-10-10,"Rio de Janeiro",330455,60,30,17,6,2022,236.760556049376,27.5291132112443,22.5074401855469,86.5923641589544
2022-10-11,"Rio de Janeiro",330455,75,46,9,11,2022,158.469802613581,20.1879544192707,24.7097106933594,82.0531647614944
2022-10-12,"Rio de Janeiro",330455,33,25,7,7,2022,268.824749127816,21.3667235016146,22.9192443847656,89.8609643107773
2022-10-13,"Rio de Janeiro",330455,60,37,9,9,2022,254.926661114041,24.3948967693086,24.41103515625,79.5789193730947
2022-10-14,"Rio de Janeiro",330455,48,30,8,5,2022,206.411144176855,18.9122815186238,23.0627685546875,87.7222881254795
2022-10-15,"Rio de Janeiro",330455,37,30,6,11,2022,142.666827684934,8.31323987426913,23.6039367675781,78.4271879632747
2022-10-16,"Rio de Janeiro",330455,30,33,7,9,2022,105.315159260044,19.1648954483981,22.969873046875,73.3549123724255
2022-10-17,"Rio de Janeiro",330455,63,37,9,8,2022,149.65760897212,3.37399086447476,23.0084167480469,80.5864188786508
2022-10-18,"Rio de Janeiro",330455,83,35,4,6,2022,141.123280172906,17.7317307503699,23.4082885742188,84.4489854212884
2022-10-19,"Rio de Janeiro",330455,68,42,17,10,2022,107.26327559496,10.1731814083905,23.53994140625,86.0957809771594
2022-10-20,"Rio de Janeiro",330455,66,36,16,7,2022,153.332081254121,18.6337381080648,25.0772644042969,77.4814651994494
2022-10-21,"Rio de Janeiro",330455,52,32,7,6,2022,210.643932518906,21.8712408184274,25.2441650390625,77.8158100834289
2022-10-22,"Rio de Janeiro",330455,32,31,7,9,2022,257.591558749937,16.7322280475446,24.343896484375,82.963958779216
2022-10-23,"Rio de Janeiro",330455,28,29,5,8,2022,183.826806221532,18.3553714450113,22.6748291015625,80.1063189870706
2022-10-24,"Rio de Janeiro",330455,67,30,9,8,2022,148.817683509606,20.286308632933,23.208642578125,77.5146707312736
2022-10-25,"Rio de Janeiro",330455,60,34,8,6,2022,135.829473890681,9.40911348834561,22.6319519042969,77.355663396707
2022-10-26,"Rio de Janeiro",330455,56,36,13,6,2022,113.086436215326,13.5038922266517,23.1461730957031,76.3076102463867
2022-10-27,"Rio de Janeiro",330455,52,34,9,9,2022,146.785907872982,15.03785718171,26.3920532226563,68.0955288099416
2022-10-28,"Rio de Janeiro",330455,52,30,10,8,2022,176.307125343556,27.0933657731121,25.1662841796875,78.8516071554548
2022-10-29,"Rio de Janeiro",330455,35,23,6,5,2022,195.078868614473,16.2186513108509,25.7776428222656,78.5412357271204
2022-10-30,"Rio de Janeiro",330455,22,24,4,7,2022,220.686850127549,16.9856475551455,27.5225158691406,70.6208626325785
2022-10-31,"Rio de Janeiro",330455,63,32,10,4,2022,185.005816888406,19.471444900887,26.9498840332031,73.5466640446497
2022-11-01,"Rio de Janeiro",330455,68,41,13,10,2022,194.34165920984,15.681000054002,22.3244262695313,86.8426326567411
2022-11-02,"Rio de Janeiro",330455,39,39,12,7,2022,82.9434156912612,12.6575505632331,19.6711669921875,79.8055665931246
2022-11-03,"Rio de Janeiro",330455,64,24,14,2,2022,73.8510621545174,9.61285007150536,19.2229248046875,73.9422004116149
2022-11-04,"Rio de Janeiro",330455,62,23,11,3,2022,75.4338209674188,7.18472925598235,19.1848693847656,75.4357069454302
2022-11-05,"Rio de Janeiro",330455,38,28,11,7,2022,85.3649275711632,6.75030609187388,20.3217102050781,69.6995027143507
2022-11-06,"Rio de Janeiro",330455,37,19,5,7,2022,86.3469971079667,12.9307879959129,21.0953308105469,67.8599732814426
2022-11-07,"Rio de Janeiro",330455,59,37,9,8,2022,83.2517841331537,16.5745115410232,19.7138610839844,77.7918895957343
2022-11-08,"Rio de Janeiro",330455,61,36,10,7,2022,89.086171328745,26.0372052807156,19.7638488769531,78.3934553858047
2022-11-09,"Rio de Janeiro",330455,70,44,12,7,2022,108.58056498364,14.767465472687,22.0614562988281,81.8887311977258
2022-11-10,"Rio de Janeiro",330455,58,29,9,7,2022,137.093245200504,8.68694471911624,23.0908752441406,83.8019579332622
2022-11-11,"Rio de Janeiro",330455,61,44,11,15,2022,136.388429439194,21.5702229411363,23.8191772460938,84.3394031082611
2022-11-12,"Rio de Janeiro",330455,39,37,8,10,2022,148.937438382291,13.9158222722813,24.1022888183594,83.8340228112815
2022-11-13,"Rio de Janeiro",330455,27,31,8,10,2022,159.119991849366,25.5286600747695,24.22353515625,83.0145439780233
2022-11-14,"Rio de Janeiro",330455,49,46,7,11,2022,191.174322594634,35.0894779899136,26.145654296875,80.0581794633009
2022-11-15,"Rio de Janeiro",330455,42,32,7,8,2022,170.780310781993,15.6990411781521,25.81728515625,79.2827378687446
2022-11-16,"Rio de Janeiro",330455,55,49,9,12,2022,179.641510555939,26.7855408964124,23.3953796386719,80.5505633554037
2022-11-17,"Rio de Janeiro",330455,61,40,6,12,2022,92.62868161386,4.61996885192661,23.2214904785156,67.6446263281619
2022-11-18,"Rio de Janeiro",330455,55,27,7,8,2022,81.896814663196,1.97325000783621,22.595849609375,66.7783489457278
2022-11-19,"Rio de Janeiro",330455,27,42,7,7,2022,66.5541826094795,12.5439312270714,22.3842712402344,64.7688834294591
2022-11-20,"Rio de Janeiro",330455,29,31,5,11,2022,88.1913777561749,12.587355158189,23.4062744140625,71.5971580646721
2022-11-21,"Rio de Janeiro",330455,64,33,7,6,2022,106.431492952197,15.7035895398394,24.8811279296875,75.1204795649715
2022-11-22,"Rio de Janeiro",330455,58,40,7,10,2022,76.4951977316741,16.7389964111919,25.9435363769531,71.4282249557916
2022-11-23,"Rio de Janeiro",330455,51,31,9,8,2022,123.112400274294,23.171770280328,26.1276794433594,72.9372359121578
2022-11-24,"Rio de Janeiro",330455,45,33,7,6,2022,109.469816322871,20.1722984982666,23.3755432128906,85.8862864615867
2022-11-25,"Rio de Janeiro",330455,49,38,8,8,2022,91.2590962798276,11.7147274103502,22.778466796875,84.8636582701198
2022-11-26,"Rio de Janeiro",330455,33,18,3,5,2022,74.8327515509573,13.7682540923834,23.2350402832031,79.7531454634416
2022-11-27,"Rio de Janeiro",330455,29,23,5,6,2022,97.6271827823894,13.741203730433,23.8628479003906,82.8802218125059
